ID,Altura.total,Diámetro1,Diametro2,HD1,HD2,HD3,HD4,HD5,HumB,HF1,HF2,HF3,HF4,HF5,HumC,DensidadAp_D,DensidadAp_Claro,Fecha
1,71,1.21,1.16,1.9,3.8,4.7,2.5,7.8,16.7,7.9,6.8,3.6,5.4,4.5,17.6,1.2,1.2,17/10/2024 10:20:16
2,1.11,1.4,1.26,8.5,8.6,13,4.8,5.5,20.7,19.2,15.6,13.4,12.8,16.6,21.5,1.2,1.2,17/10/2024 22:01:46
3,0.63,0.76,0.76,6.4,5.4,6.4,10.3,6.8,24.4,4.5,7.3,4.3,4.1,3.7,29.3,1.2,1.6,17/10/2024 22:06:24
4,1.66,1.88,1.96,12.5,8,16.8,9.3,9,23.8,6.1,7.2,1.7,6,6.2,6.5,1.6,1.2,17/10/2024 22:10:43
5,0.58,0.8,1.2,11.6,14.2,12,14.1,14.6,1.6,8.5,8.6,5,7.5,8.2,14.6,1.6,1.2,17/10/2024 22:16:39
6,1.56,1.67,1.73,4.2,11,8.1,7,11.9,27.7,6,8.6,11.4,6.8,4,31.8,1.6,1.6,17/10/2024 22:24:14
7,1.44,2.59,2.6,19.3,18,9.9,25.6,24.5,26.7,17,6.4,10.2,12.8,14,12.8,1,1.6,17/10/2024 22:29:07
8,1.57,2.9,2.69,11.4,8.6,18.9,10.4,14.6,6.6,2.4,4.9,14.8,5.4,21.1,16.5,1.2,1.6,17/10/2024 22:43:34
9,1.34,1.98,1.19,11.6,10,14,7.2,8.2,17.7,18.2,5,9.9,18.2,16.4,14.6,1.2,1.6,17/10/2024 22:48:59
10,1.12,1.96,1.77,17.5,8.5,13.2,14.6,8,18.6,23.4,21.8,7,12.2,13.6,4.7,1.2,1.6,17/10/2024 22:53:25
11,1.32,02.09,2.15,21.2,19.6,22.9,21.8,18.2,2.6,23.7,26.4,21.4,27,24,30.8,1.5,1.1,18/10/2024 9:39:03
12,1.54,2.17,02.03,26,23.8,18.2,23.2,21.4,17.6,28.9,23.4,24.2,24.5,23.5,25.5,1.1,1.3,18/10/2024 21:55:52
13,1.2,1.42,1.7,28.1,23,25.2,24.4,22.8,13.6,20.1,22.3,21.5,23.4,22.6,15.4,1.1,1.3,18/10/2024 22:02:00
14,1.4,0.89,1.14,20.4,23.8,21,18.6,20.2,9.7,25.2,21,24.6,24.6,17.7,17.7,1,1.1,18/10/2024 22:08:51
15,0.79,0.94,0.96,22.3,16.7,16.1,18.6,16,18.6,24.3,26,25.8,25.7,27.8,19.8,1.1,1.2,18/10/2024 22:14:53
16,1.62,2.32,2.22,18.3,17,16.4,17.2,16,17.7,20.8,21.2,24,20.3,26.6,5.7,1,1.3,18/10/2024 22:19:46
17,1.24,1.56,1.28,12.8,11.7,7.5,14.2,17.4,18.5,22.4,26.4,27.4,24.1,25.3,31.3,1.1,1.3,18/10/2024 22:24:37
18,1.26,1.3,1.56,18,17.5,21.8,17.2,19.4,1.7,22,22.1,25,23.2,21.5,17.7,1,1.4,18/10/2024 22:27:55
19,0.79,1.12,1.12,8.2,12.6,10.3,9.6,13,11.6,18.8,16.3,17.4,15,18.5,5.7,1,1.6,19/10/2024 9:12:52
20,1.23,1.44,1.76,10,9,8.2,7.1,9,21.8,20.6,20.2,22.2,22,18.2,22.5,1.2,1.6,19/10/2024 9:29:17
21,1.44,1.62,1.25,14.4,13,14.4,13.8,11.8,26.7,21.4,19.2,20.9,23.9,22.2,28.5,1,1.6,19/10/2024 9:46:36
22,1.86,3.4,2.65,13.8,13.4,12,14.2,15.7,8.7,23.6,23,21.4,23,21.6,3.9,1.1,1.5,19/10/2024 10:10:36
23,1.86,1.73,2.83,10.8,9.6,10.2,9.2,13.1,4.4,13.5,13.8,15.2,15.7,23.8,15.6,1,1.6,19/10/2024 10:34:14
24,1.94,3.28,03.02,11.9,9.8,8.5,11.3,9,29.7,22.2,19.4,20.3,16.3,15.6,6.4,1,1.6,20/10/2024 13:16:46
25,1.41,1.55,1.47,5.8,8,9.2,6,5.4,7.8,21,20.2,19.8,21.2,16.1,27.5,1.6,1.6,20/10/2024 13:24:55
26,01.08,1.25,1.24,9.6,6.2,6.5,8.4,9.3,7.4,14.6,19.9,18.5,15.2,14.2,10.5,1,1.6,20/10/2024 13:31:40
27,2.3,2.15,02.05,16.4,7.8,8,10.8,16.4,24.7,16.9,16.6,16.4,16.9,16,23.8,1.2,1.6,20/10/2024 13:35:49
28,2.2,2.56,1.52,14.3,12.9,16.4,15.4,12.6,20.5,20.2,20,16.9,21.8,17.8,19.8,1.2,1.6,20/10/2024 13:41:01
29,02.03,02.06,02.09,17.8,10.2,16.8,13.5,15.4,27.5,18.4,15,22.8,19.4,23.6,20.7,1,1.6,20/10/2024 13:49:16
30,0.96,1.3,0.8,23.6,18,18,11.6,19.3,24.8,22.4,23.6,19.8,20.6,23.7,27.6,1.2,1.6,20/10/2024 13:54:47