,Tagetes coronopifolia,Stevia sp.,Sabazia humilis,Muhlenbergia macroura,Bouvardia teniflora,Stevia serrata,Stevia ovata,Bidens odorata,Rumex acetosella,Barckleyanthus salicifolius,Bidens triplinervia,Lupinus elegans,Dysphania graveolens,Piptochaetium sp.,Galinsoga parviflora,Dalea sericea,Paronychia mexicana,Tinantia erecta,Bidens anthemoides,Muhlenbergia sp.1,Commelina sp.,Apiaceae,Oxalis corniculata,Simsia amplexicoulis,Fuertesimalva limensis,Ageratina,Trifolium repens,Geranium seemannii,Eleocharis sp.,Pasto mata,Helianthemum glomeratum,Bromus diandrus,Verbenaceae sp.,Aristida sp.,Cenchrus clandestinus,Conyza sp.,Cyclospermun leptophyllum,Sisyrinchium sp.,Suelo desnudo,Drymaria sp.,Eryngium carlinae,Argemone platyceras,Drymaria effusa,Italenia brevicornis,Muhlenbergia dubia,Plantago sp.,Viola sp.,Scleranthus annuus,Drymaria sp,Stellaria cuspidata,Gamochaeta americana
Barckly1,15,0,4,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,30,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barckly2,35,0,20,0,0,0,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,0,5,10,0,0,30,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Barckly3,50,0,15,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,15,0,30,0,0,0,0,0,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Barckly4,40,0,40,0,0,0,10,0,10,10,2,5,0,0,0,0,0,0,2,0,0,30,0,0,10,0,0,30,0,0,0,0,0,0,30,2,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Barckly5,0,5,30,0,0,0,5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,15,2,50,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0
Barckly6,30,0,45,0,0,0,0,2,15,0,5,10,0,0,0,20,0,0,5,0,0,45,0,0,0,0,0,5,5,0,0,0,0,0,15,0,0,0,10,0,4,0,0,0,0,0,5,0,0,0,5
Barckly7,15,0,30,0,0,0,0,0,5,70,0,0,5,0,0,20,0,0,0,0,0,30,30,0,0,10,60,0,0,20,0,0,0,0,50,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0
Barckly8,20,0,30,20,0,0,0,0,0,0,5,20,1,0,0,0,0,0,5,0,2,10,0,2,1,3,10,20,0,15,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Barckly9,30,0,25,0,0,0,2,3,0,0,3,18,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,5,1,0,0,0,0,0,97,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
Barckly10,20,0,40,0,0,0,0,2,0,50,2,0,3,0,0,20,0,0,1,0,0,0,0,1,0,0,20,30,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Barckly11,0,0,35,0,0,0,15,0,0,30,0,0,2,0,0,15,0,0,0,0,0,4,0,0,0,0,35,4,0,7,0,0,0,0,15,0,0,0,25,0,0,2,0,0,0,0,0,0,0,0,0
Barckly12,2,35,5,15,0,0,35,1,0,20,1,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Barckly13,0,40,0,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,10,0,0,0,5,0,3,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Barckly14,0,10,0,20,20,20,10,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,30,4,0,0,20,0,0,0,0,0,0,0,0
Barckly15,0,45,1,0,0,0,45,0,0,0,0,0,0,70,0,0,2,0,0,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Barckly16,0,0,80,0,10,0,0,7,0,25,7,0,5,10,45,5,5,0,0,0,1,0,2,0,10,0,20,5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Barckly17,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,95,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Barckly18,0,0,7,0,0,0,3,0,10,0,0,0,0,50,0,10,10,0,0,0,5,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,50,0,0
Barckly19,0,10,5,20,0,0,10,0,0,0,0,0,0,20,0,2,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0
Barckly20,0,0,0,40,0,20,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Barckly21,0,25,10,0,0,30,25,0,0,25,0,0,0,30,0,0,5,0,0,0,0,5,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Barckly22,0,0,2,20,0,3,25,0,5,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,95,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Barckly23,2,0,1,30,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5,2,0,0,0,0,0,0,95,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0
Barckly24,0,0,2,30,3,5,5,0,10,15,0,0,0,5,0,10,0,0,0,0,0,10,20,0,0,0,10,5,5,0,0,0,2,0,60,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Barckly25,0,0,0,0,0,5,5,3,0,0,3,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,5,0,7,0,0,25,0,0,85,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0
Barckly26,1,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,7,0,2,0,0,40,0,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Barckly27,0,0,3,0,0,5,5,3,15,15,3,5,0,0,1,0,0,0,0,0,2,15,5,1,0,0,10,5,0,0,0,15,0,0,7,0,0,1,25,0,5,0,0,0,0,0,0,0,0,0,0
Barckly28,0,7,2,20,0,20,7,0,20,50,0,20,0,0,0,5,0,0,0,0,5,10,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
Barckly29,0,7,3,40,20,10,7,0,0,25,0,7,0,0,0,5,0,1,0,0,0,5,0,0,0,0,5,5,2,0,0,10,0,0,55,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Barckly30,1,0,10,0,0,0,0,0,15,0,0,0,0,0,0,7,0,4,0,0,3,20,10,0,0,0,0,15,0,0,0,12,0,0,0,0,15,0,60,0,0,0,0,0,0,0,0,0,0,3,0
Claro1,45,0,30,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,30,0,0,25,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Claro2,20,0,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Claro3,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Claro4,70,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,0,0,20,0,0,35,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claro5,25,0,30,0,0,0,0,0,30,0,0,5,0,0,0,25,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Claro6,15,0,0,0,0,0,0,0,35,0,0,5,0,0,0,25,0,0,7,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Claro7,30,0,15,0,10,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,2,30,0,0,0,0,0,0,0,90,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0
Claro8,20,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,30,0,0,0,0,0,0,0,92,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Claro9,12,0,20,0,0,0,0,0,0,0,0,15,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,94,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Claro10,25,0,25,0,0,0,0,0,0,0,0,15,0,0,0,20,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,90,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Claro11,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,15,0,1,0,0,30,0,0,0,0,0,0,0,85,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Claro12,12,0,35,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,20,0,0,0,0,35,0,0,0,0,0,0,0,92,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Claro13,0,30,0,45,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,10,0,0,0,15,0,5,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Claro14,0,0,0,0,0,0,45,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,5,0,0,0,0,50,10,5,0,0,0,0,0,0,0,10,0,0
Claro15,0,28,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,25,5,0,0,0,0,0,0,0,0,5,0,0
Claro16,5,0,60,0,0,0,0,0,0,15,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Claro17,5,0,15,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,1,0,0,10,0,0,0,0,0,0,10,70,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Claro18,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,15,0,0,0,0,40,40,0,0,0,0,0,2,0,0,40,0,0
Claro19,0,0,0,30,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,5,50,3,0,0,0,0,0,0,0,50,0,0
Claro20,0,0,3,35,0,10,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claro21,0,0,3,50,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
Claro22,0,0,0,10,15,0,0,0,3,3,0,0,0,0,0,15,0,0,4,0,3,5,0,1,0,0,0,0,5,0,0,0,0,0,95,0,0,2,5,20,0,0,0,0,0,0,0,0,0,3,0
Claro23,0,15,0,10,0,0,0,0,5,0,0,5,0,0,0,10,0,0,1,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,93,0,0,3,7,0,2,0,0,0,0,0,0,0,0,0,0
Claro24,0,5,3,10,0,15,0,0,0,0,0,0,0,0,0,20,0,0,2,0,3,7,0,0,0,0,0,0,3,0,0,0,0,0,90,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Claro25,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,5,0,3,0,0,30,0,0,50,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Claro26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,20,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Claro27,1,0,7,0,0,1,0,0,0,7,0,3,0,0,0,5,0,0,5,0,3,5,0,0,0,0,20,0,0,0,0,10,0,0,30,0,0,2,55,0,0,0,0,0,0,0,0,0,0,0,0
Claro28,0,0,1,25,0,4,0,0,20,70,0,15,0,10,0,5,0,5,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,40,0,10,0,0,0,0,0,0,0,0,0,0
Claro29,2,0,0,0,0,0,0,0,5,0,0,20,0,20,0,5,0,0,0,0,5,10,0,0,0,0,15,0,0,0,0,0,0,0,70,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Claro30,3,30,3,0,0,3,0,0,10,7,0,0,0,6,0,5,0,0,0,0,4,25,0,0,3,0,30,4,0,0,0,10,0,,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0